City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Shablykino,RU,2022-04-05 04:01:05,52.8566,35.1964,29.1,79,23,12.46
160,Puerto Escondido,MX,2022-04-05 04:01:16,15.85,-97.0667,78.08,72,0,7.52
161,Álamos,MX,2022-04-05 04:00:00,27.0167,-108.9333,63.09,59,0,2.26
162,Narsaq,GL,2022-04-05 04:01:26,60.9167,-46.05,43.02,70,98,4.7
163,Huarmey,PE,2022-04-05 04:01:27,-10.0681,-78.1522,70.16,83,76,8.03
164,Buchanan,LR,2022-04-05 04:01:27,5.8808,-10.0467,78.1,90,100,4.83
165,Dourbali,TD,2022-04-05 04:01:28,11.8091,15.8632,83.34,37,85,4.27
166,Rielasingen-Worblingen,DE,2022-04-05 04:01:28,47.7347,8.8401,41.34,74,100,10.4
167,Ngaoundéré,CM,2022-04-05 04:01:38,7.3167,13.5833,69.89,64,97,4.05
168,Marawi,PH,2022-04-05 04:01:39,7.9986,124.2928,75.78,81,100,5.59
169,Yellowknife,CA,2022-04-05 03:57:48,62.456,-114.3525,36.41,78,20,4.61
170,Troy,US,2022-04-05 04:01:39,42.6056,-83.1499,39.29,92,100,3.44
171,Collie,AU,2022-04-05 04:01:39,-33.3667,116.15,71.44,33,0,6.85
172,Danilov,RU,2022-04-05 04:01:50,58.1908,40.1717,23.11,92,39,5.75
173,Cayenne,GF,2022-04-05 04:01:50,4.9333,-52.3333,80.1,1,100,3.0
174,Suicheng,CN,2022-04-05 04:01:50,33.8963,117.9331,68.68,48,100,11.59
175,Clyde River,CA,2022-04-05 04:01:51,70.4692,-68.5914,-1.91,78,0,3.67
176,Kawalu,ID,2022-04-05 04:01:51,-7.3817,108.2082,87.3,57,36,3.58
177,Fairlie,GB,2022-04-05 04:01:52,55.756,-4.8556,50.22,92,100,18.81
178,Esperance,AU,2022-04-05 04:01:52,-33.8667,121.9,65.52,63,68,12.77
179,Port-Gentil,GA,2022-04-05 04:02:02,-0.7193,8.7815,80.13,83,99,7.74
180,Haines Junction,CA,2022-04-05 04:02:03,60.7522,-137.5108,22.91,93,22,4.36
181,Ostrovnoy,RU,2022-04-05 04:02:03,68.0531,39.5131,17.62,92,83,11.18
182,Changji,CN,2022-04-05 04:02:03,44.0167,87.3167,66.99,24,0,4.47
183,Souillac,MU,2022-04-05 04:01:26,-20.5167,57.5167,79.18,89,75,12.66
184,Kampong Cham,KH,2022-04-05 04:02:04,11.9934,105.4635,89.01,50,32,15.7
185,Skibbereen,IE,2022-04-05 04:02:04,51.55,-9.2667,51.12,84,20,15.21
186,Faanui,PF,2022-04-05 04:02:15,-16.4833,-151.75,83.1,75,23,17.92
187,Vostok,RU,2022-04-05 03:57:32,46.4856,135.8833,55.51,52,54,12.97
188,Gizo Government Station,SB,2022-04-05 04:02:16,-8.103,156.8419,84.2,75,98,14.09
189,Cabo San Lucas,MX,2022-04-05 04:02:26,22.8909,-109.9124,68.61,69,92,1.01
190,Kloulklubed,PW,2022-04-05 04:02:37,7.0419,134.2556,82.49,73,99,0.67
191,Tatishchevo,RU,2022-04-05 04:02:37,51.6703,45.5953,30.88,79,38,11.7
192,Santa Rosalía,MX,2022-04-05 03:58:17,27.3167,-112.2833,62.29,59,0,2.26
193,Makakilo City,US,2022-04-05 04:02:38,21.3469,-158.0858,73.69,74,100,14.12
194,Hachinohe,JP,2022-04-05 04:02:38,40.5,141.5,56.39,57,10,4.76
195,Conceição da Barra,BR,2022-04-05 04:02:38,-18.5933,-39.7322,73.63,83,0,2.1
196,Karaton,ID,2022-04-05 04:02:39,-6.3424,106.1045,88.7,55,33,3.74
197,Arlit,NE,2022-04-05 04:02:39,18.7369,7.3853,82.51,7,75,8.55
198,Mapastepec,MX,2022-04-05 04:02:39,15.4333,-92.9,77.2,79,16,2.84
199,Bloomfield,US,2022-04-05 04:01:10,40.8068,-74.1854,47.91,62,0,4.61
200,Galle,LK,2022-04-05 04:02:50,6.0367,80.217,79.93,76,100,0.87
201,Rio Verde de Mato Grosso,BR,2022-04-05 04:03:00,-18.9181,-54.8442,78.89,64,56,2.82
202,Forsytheganj,BY,2022-04-05 04:03:10,52.6333,29.7333,32.77,60,100,17.74
203,Moranbah,AU,2022-04-05 04:03:11,-22.0016,148.0466,91.76,30,33,9.01
204,Atar,MR,2022-04-05 04:03:11,20.5169,-13.0499,66.92,48,0,4.45
205,Katsuura,JP,2022-04-05 04:03:11,35.1333,140.3,54.36,84,99,17.56
206,Nosy Varika,MG,2022-04-05 04:03:22,-20.5833,48.5333,74.3,87,81,3.15
207,Beringovskiy,RU,2022-04-05 04:03:22,63.05,179.3167,-0.56,83,69,15.35
208,Río Tercero,AR,2022-04-05 04:03:22,-32.173,-64.1141,56.8,58,0,4.94
209,Dingle,PH,2022-04-05 04:03:23,10.9995,122.6711,85.95,64,100,10.65
210,Fairbanks,US,2022-04-05 04:03:23,64.8378,-147.7164,20.3,57,100,1.99
211,Dalakovo,RU,2022-04-05 04:03:24,43.235,44.5917,31.86,93,98,4.47
212,Bogale,MM,2022-04-05 04:03:34,16.2833,95.4,92.19,40,65,3.02
213,Aras,ES,2022-04-05 04:03:34,42.5617,-2.356,26.73,93,0,5.75
214,Adrar,MR,2022-04-05 04:03:35,20.5022,-10.0711,67.96,46,0,5.77
215,East London,ZA,2022-04-05 04:03:35,-33.0153,27.9116,63.61,73,2,6.35
216,Mnogovershinnyy,RU,2022-04-05 04:03:45,53.9353,139.9242,24.62,78,100,5.26
217,Buala,SB,2022-04-05 04:03:45,-8.145,159.5921,79.59,89,100,11.56
218,Bela,IN,2022-04-05 04:03:46,25.9333,81.9833,97.29,4,1,1.05
219,Northam,GB,2022-04-05 04:03:46,51.0333,-4.2167,51.39,93,100,13.22
220,Salalah,OM,2022-04-05 04:00:52,17.0151,54.0924,80.19,52,0,0.92
221,Yenotayevka,RU,2022-04-05 04:03:57,47.2456,47.0281,41.0,63,98,11.88
222,Sitka,US,2022-04-05 04:03:57,57.0531,-135.33,36.81,97,99,4.09
223,Lüderitz,NA,2022-04-05 04:03:58,-26.6481,15.1594,57.92,79,0,6.2
224,Jhajjar,IN,2022-04-05 04:03:58,28.6063,76.6565,92.32,5,19,1.7
225,Kahului,US,2022-04-05 04:03:58,20.8947,-156.47,75.85,84,100,13.0
226,Khrebtovaya,RU,2022-04-05 04:04:19,56.7032,104.2494,24.91,60,100,5.7
227,Fallon,US,2022-04-05 04:04:19,39.4735,-118.7774,60.67,37,75,14.97
228,Bairiki Village,KI,2022-04-05 04:04:19,1.3292,172.9752,84.2,84,20,8.05
229,Taveta,KE,2022-04-05 04:04:20,-3.3963,37.6736,70.36,85,49,1.57
230,Kiruna,SE,2022-04-05 04:04:31,67.8557,20.2251,11.32,92,100,12.66
231,Acapulco de Juárez,MX,2022-04-05 04:04:31,16.8634,-99.8901,75.02,83,20,6.91
232,Departamento de Maldonado,UY,2022-04-05 04:01:26,-34.6667,-54.9167,49.15,51,0,4.25
233,Namatanai,PG,2022-04-05 04:04:51,-3.6667,152.4333,85.35,68,66,13.11
234,Gonaïves,HT,2022-04-05 04:05:01,19.45,-72.6833,77.16,75,28,5.35
235,Atambua,ID,2022-04-05 04:05:02,-9.1061,124.8925,83.41,59,17,3.44
236,Tommot,RU,2022-04-05 04:05:02,58.9564,126.2925,22.42,73,100,11.14
237,Mbuji-Mayi,CD,2022-04-05 04:05:13,-6.15,23.6,66.54,95,96,1.52
238,Thunder Bay,CA,2022-04-05 04:05:01,48.4001,-89.3168,33.3,93,100,5.75
239,Pontes e Lacerda,BR,2022-04-05 04:05:33,-15.2261,-59.3353,71.17,96,26,1.77
240,Alofi,NU,2022-04-05 04:05:34,-19.0595,-169.9187,71.49,94,100,4.61
241,Punto Fijo,VE,2022-04-05 04:05:34,11.6956,-70.1996,77.34,83,10,26.84
242,Necochea,AR,2022-04-05 04:05:34,-38.5473,-58.7368,52.03,66,45,9.66
243,Biak,ID,2022-04-05 04:05:35,-0.9131,122.8766,83.1,70,80,2.82
244,Sumbe,AO,2022-04-05 04:05:45,-11.2061,13.8437,77.13,88,96,7.09
245,Killeen,US,2022-04-05 04:02:38,31.1171,-97.7278,71.76,85,75,8.05
246,Satka,RU,2022-04-05 04:05:55,55.0425,59.04,33.87,78,93,9.37
247,Constitución,CL,2022-04-05 04:05:56,-35.3333,-72.4167,55.27,61,0,6.85
248,Mykhaylivka,UA,2022-04-05 04:05:56,47.2724,35.2224,34.07,73,42,6.58
249,Māngrol,IN,2022-04-05 04:05:56,21.1167,70.1167,87.01,39,6,7.81
250,Lahaina,US,2022-04-05 04:06:07,20.8783,-156.6825,78.8,84,100,7.0
251,Ngunguru,NZ,2022-04-05 04:06:07,-35.6167,174.5,70.09,79,100,11.01
252,Bambanglipuro,ID,2022-04-05 04:06:08,-7.95,110.2833,84.42,70,21,5.97
253,Bengkulu,ID,2022-04-05 04:06:08,-3.8004,102.2655,84.94,59,28,7.2
254,Kondopoga,RU,2022-04-05 04:05:22,62.2057,34.2614,29.88,88,100,11.05
255,Coquimbo,CL,2022-04-05 04:06:29,-29.9533,-71.3436,55.13,100,0,3.44
256,Touros,BR,2022-04-05 04:06:39,-5.1989,-35.4608,76.89,83,80,9.35
257,Baião,BR,2022-04-05 04:06:40,-2.7906,-49.6717,72.86,99,100,1.41
258,Thompson,CA,2022-04-05 04:06:50,55.7435,-97.8558,27.88,89,79,5.93
259,Trelew,AR,2022-04-05 04:06:50,-43.249,-65.3051,64.62,33,99,6.51
260,Severo-Kuril'sk,RU,2022-04-05 04:06:51,50.6789,156.125,36.12,91,32,8.61
261,Poum,NC,2022-04-05 04:04:11,-20.2333,164.0167,80.73,82,100,27.02
262,Arys,KZ,2022-04-05 04:07:01,42.4252,68.795,71.6,34,0,3.91
263,Meulaboh,ID,2022-04-05 04:07:11,4.1363,96.1285,83.75,67,98,0.54
264,Ahipara,NZ,2022-04-05 04:07:22,-35.1667,173.1667,70.9,80,100,6.49
265,Ambilobe,MG,2022-04-05 04:07:22,-13.2,49.05,74.91,92,99,1.43
266,Svetlaya,RU,2022-04-05 04:07:22,46.5389,138.3297,43.54,84,100,19.48
267,Labuhan,ID,2022-04-05 04:07:23,-6.8844,112.2051,84.76,69,31,2.66
268,Berlevåg,NO,2022-04-05 04:07:23,70.8578,29.0864,19.2,67,97,17.69
269,Macapá,BR,2022-04-05 04:07:23,0.0389,-51.0664,76.98,94,40,4.61
270,Cherskiy,RU,2022-04-05 04:07:24,68.75,161.3,0.93,84,25,4.45
271,Okhotsk,RU,2022-04-05 04:07:24,59.3833,143.3,28.18,83,97,3.04
272,Bilibino,RU,2022-04-05 04:07:35,68.0546,166.4372,8.06,71,11,3.33
273,Grand-Lahou,CI,2022-04-05 04:07:35,5.1367,-5.0242,79.84,89,78,7.52
274,Pokhara,NP,2022-04-05 04:05:14,28.2333,83.9833,84.16,29,1,6.55
275,Kostomuksha,RU,2022-04-05 04:07:46,64.571,30.5767,27.7,95,100,13.22
276,Canayan,PH,2022-04-05 04:07:46,8.1956,125.1447,75.58,90,100,3.2
277,Morehead,US,2022-04-05 04:07:56,37.2711,-87.1764,52.99,96,100,0.0
278,Mweka,CD,2022-04-05 04:08:07,-4.85,21.5667,64.11,99,99,0.58
279,Tasiilaq,GL,2022-04-05 04:08:07,65.6145,-37.6368,15.96,91,96,4.76
280,Evensk,RU,2022-04-05 04:08:17,61.95,159.2333,21.25,75,22,4.88
281,Nanortalik,GL,2022-04-05 04:08:38,60.1432,-45.2371,32.99,83,100,3.76
282,Port Augusta,AU,2022-04-05 04:08:38,-32.5,137.7667,86.23,14,0,5.01
283,Båtsfjord,NO,2022-04-05 04:08:38,70.6345,29.7185,19.18,93,40,12.66
284,Kysyl-Syr,RU,2022-04-05 04:08:39,63.8986,122.7617,11.8,80,98,10.36
285,Ingham,US,2022-04-05 04:08:39,42.6,-84.3833,40.23,87,100,0.0
286,Trairi,BR,2022-04-05 04:08:49,-3.2778,-39.2689,74.19,94,100,4.79
287,Imbituba,BR,2022-04-05 04:09:00,-28.24,-48.6703,70.83,95,62,6.17
288,Syracuse,IT,2022-04-05 04:09:00,37.0881,15.2792,54.77,78,71,20.4
289,Kruisfontein,ZA,2022-04-05 04:09:00,-34.0033,24.7314,57.88,73,2,10.36
290,Codrington,AU,2022-04-05 04:09:01,-38.2667,141.9667,62.96,57,100,8.61
291,Noumea,NC,2022-04-05 04:09:01,-22.2763,166.4572,84.99,99,100,4.81
292,Aksarka,RU,2022-04-05 04:09:01,66.5606,67.7975,18.55,93,80,1.54
